Timestamp,Product,Average Price,Price Change
2025-06-02 14:40,SLC 2Gb 256MBx8,0.966,▼ -0.10 %
2025-06-02 14:40,SLC 1Gb 128MBx8,0.863,- 0.00 %
2025-06-02 14:40,MLC 64Gb 8GBx8,5.208,▲ 0.97 %
2025-06-02 14:40,MLC 32Gb 4GBx8,2.893,▲ 1.47 %
2025-06-09 14:40,SLC 2Gb 256MBx8,0.966,- 0.00 %
2025-06-09 14:40,SLC 1Gb 128MBx8,0.862,▼ -0.12 %
2025-06-09 14:40,MLC 64Gb 8GBx8,5.38,▲ 3.30 %
2025-06-09 14:40,MLC 32Gb 4GBx8,2.988,▲ 3.28 %
2025-06-16 14:40,SLC 2Gb 256MBx8,0.985,▲ 1.97 %
2025-06-16 14:40,SLC 1Gb 128MBx8,0.877,▲ 1.74 %
2025-06-16 14:40,MLC 64Gb 8GBx8,5.517,▲ 2.55 %
2025-06-16 14:40,MLC 32Gb 4GBx8,3.073,▲ 2.85 %
2025-06-30 15:50,SLC 2Gb 256MBx8,1.001,▲ 1.62 %
2025-06-30 15:50,SLC 1Gb 128MBx8,0.883,▲ 0.68 %
2025-06-30 15:50,MLC 64Gb 8GBx8,5.678,▲ 2.92 %
2025-06-30 15:50,MLC 32Gb 4GBx8,3.176,▲ 3.35 %
2025-07-07 15:00,SLC 2Gb 256MBx8,1.015,▲ 1.40 %
2025-07-07 15:00,SLC 1Gb 128MBx8,0.893,▲ 1.13 %
2025-07-07 15:00,MLC 64Gb 8GBx8,5.85,▲ 3.03 %
2025-07-07 15:00,MLC 32Gb 4GBx8,3.273,▲ 3.05 %
2025-07-14 15:00,SLC 2Gb 256MBx8,1.014,▼ -0.10 %
2025-07-14 15:00,SLC 1Gb 128MBx8,0.889,▼ -0.45 %
2025-07-14 15:00,MLC 64Gb 8GBx8,5.965,▲ 1.97 %
2025-07-14 15:00,MLC 32Gb 4GBx8,3.346,▲ 2.23 %
2025-07-21 19:52,SLC 2Gb 256MBx8,1.01,▼ -0.39 %
2025-07-21 19:52,SLC 1Gb 128MBx8,0.893,▲ 0.45 %
2025-07-21 19:52,MLC 64Gb 8GBx8,6.061,▲ 1.61 %
2025-07-21 19:52,MLC 32Gb 4GBx8,3.395,▲ 1.46 %
2025-07-28 15:00,SLC 2Gb 256MBx8,1.024,▲ 1.39 %
2025-07-28 15:00,SLC 1Gb 128MBx8,0.901,▲ 0.90 %
2025-07-28 15:00,MLC 64Gb 8GBx8,6.215,▲ 2.54 %
2025-07-28 15:00,MLC 32Gb 4GBx8,3.471,▲ 2.24 %
2025-08-04 15:00,SLC 2Gb 256MBx8,1.032,▲ 0.78 %
2025-08-04 15:00,SLC 1Gb 128MBx8,0.908,▲ 0.78 %
2025-08-04 15:00,MLC 64Gb 8GBx8,6.24,▲ 0.40 %
2025-08-04 15:00,MLC 32Gb 4GBx8,3.495,▲ 0.69 %
2025-08-11 15:00,SLC 2Gb 256MBx8,1.035,▲ 0.29 %
2025-08-11 15:00,SLC 1Gb 128MBx8,0.91,▲ 0.22 %
2025-08-11 15:00,MLC 64Gb 8GBx8,6.265,▲ 0.40 %
2025-08-11 15:00,MLC 32Gb 4GBx8,3.505,▲ 0.29 %
2025-08-18 15:00,SLC 2Gb 256MBx8,1.037,▲ 0.19 %
2025-08-18 15:00,SLC 1Gb 128MBx8,0.912,▲ 0.22 %
2025-08-18 15:00,MLC 64Gb 8GBx8,6.275,▲ 0.16 %
2025-08-18 15:00,MLC 32Gb 4GBx8,3.52,▲ 0.43 %
2025-08-25 15:00,SLC 2Gb 256MBx8,1.036,▼ -0.10 %
2025-08-25 15:00,SLC 1Gb 128MBx8,0.912,— 0.00 %
